gene,score,rank
VPS16,1.3962572263021353e-05,173
PDCD5,1.252847956431853e-05,177
FASN,1.2170523005338e-05,178
PGAM1,1.145460988737694e-05,179
PFDN6,1.117005781041708e-05,180
GNB2,1.117005781041708e-05,180
STX7,1.117005781041708e-05,180
ENO2,1.117005781041708e-05,180
CLIC4,1.117005781041708e-05,180
SNAP25,1.1169128583318976e-05,185
AKAP5,1.0879207313565493e-05,186
CFL2,1.0879207313565493e-05,186
BCAP31,1.0597234332959795e-05,188
ADRM1,1.0310822594231151e-05,189
EIF4A3,1.0310822594231151e-05,189
ACTR2,9.878779019275827e-06,191
ARHGAP1,9.7364184042704e-06,192
GPD1L,9.519306399369806e-06,193
PURA,9.450053157085976e-06,194
ATP6V0D1,9.449266888002965e-06,195
ELMO2,9.163687909901551e-06,196
SNX1,9.163687909901551e-06,196
SYT1,9.018290273087185e-06,198
GSPT1,8.232315849396523e-06,199
ARPC3,7.874389073335805e-06,200
NCEH1,7.516462297275086e-06,201
TPM1,7.516462297275086e-06,201
DNAJB4,7.300520697261056e-06,203
ATP6V1A,6.872765932426164e-06,204
ATP2A2,6.871078303304522e-06,205
VPS11,6.657991997037846e-06,206
SRGAP3,6.512151959043081e-06,207
C1QBP,6.44321806164953e-06,208
FUS,6.44321806164953e-06,208
VDAC1,6.441635909347989e-06,210
APMAP,5.726828416971494e-06,211
TOLLIP,5.726828416971494e-06,211
PHYHIPL,5.368029924456658e-06,213
GNB1,5.152471879682437e-06,214
PRKAR2A,4.294423939565327e-06,215
PYGM,4.294423939565327e-06,215
SYNCRIP,4.294423939565327e-06,215
EXOC8,4.294423939565327e-06,215
DDX1,4.008129010260971e-06,219
EEF1D,4.008129010260971e-06,219
SETD7,4.008129010260971e-06,219
RANBP1,3.935916019201863e-06,222
RAB3A,3.5781054720016933e-06,223
EIF4G2,3.5781054720016933e-06,223
ABHD12,3.2208179546739945e-06,225
TRIM2,3.2208179546739945e-06,225
STMN1,3.2208179546739945e-06,225
PGK1,3.2208179546739945e-06,225
HSPA4L,3.2208179546739945e-06,225
VPS50,3.2208179546739945e-06,225
VPS53,3.2208179546739945e-06,225
NUDC,3.2202949248015237e-06,232
DAG1,3.2202949248015237e-06,232
ATP6V0C,3.0060967576957286e-06,234
VPS13C,3.0060967576957286e-06,234
EXOC3,3.0060967576957286e-06,234
RTN3,2.8624843776013545e-06,237
VCAN,2.8624843776013545e-06,237
DNAJC5,2.8624843776013545e-06,237
YWHAE,2.8624843776013545e-06,237
SLC25A3,2.8624843776013545e-06,237
DCTN4,2.791375560717462e-06,242
CNN3,2.791375560717462e-06,242
ACTN1,2.5762359398412185e-06,244
SH3GL2,2.5762359398412185e-06,244
CALB2,2.5762359398412185e-06,244
DCTN5,2.5762359398412185e-06,244
CAP1,2.5758175159432424e-06,248
ACTR1A,2.5758175159432424e-06,248
LRP1,2.5758175159432424e-06,248
ZYX,2.289987502081083e-06,251
CPT1C,2.289987502081083e-06,251
CSDE1,2.289987502081083e-06,251
CORO1A,1.932176954880914e-06,254
WDR1,1.932176954880914e-06,254
SYNJ1,1.932176954880914e-06,254
STXBP5,1.932176954880914e-06,254
TOMM34,1.932176954880914e-06,254
SHMT2,1.932176954880914e-06,254
ATP2B4,1.932176954880914e-06,254
BSG,1.932176954880914e-06,254
COPS5,1.932176954880914e-06,254
TTC1,1.932176954880914e-06,254
SH3BGRL3,1.788762163849474e-06,264
HSPH1,1.788762163849474e-06,264
PSMB7,1.7174906265608124e-06,266
ATP2C1,1.7174906265608124e-06,266
HSPA2,1.7174906265608124e-06,266
EXOC5,1.7174906265608124e-06,266
CIAPIN1,1.7174906265608124e-06,266
PLCB1,1.7174906265608124e-06,266
KCNAB2,1.7174906265608124e-06,266
PCBP2,1.7174906265608124e-06,266
CYFIP2,1.7174906265608124e-06,266
HNRNPD,1.7174906265608124e-06,266
RNF214,1.7174906265608124e-06,266
TWF2,1.502804298240711e-06,277
ATP1B1,1.502804298240711e-06,277
ATP1A1,1.502804298240711e-06,277
SGTB,1.502804298240711e-06,277
PAK2,1.1449937510405415e-06,281
VPS35,1.1449937510405415e-06,281
PIP4K2A,1.1449937510405415e-06,281
PPP1R12B,1.1449937510405415e-06,281
LDHA,1.1449937510405415e-06,281
PRUNE2,1.1449937510405415e-06,281
NPTN,1.1449937510405415e-06,281
USP5,1.1449937510405415e-06,281
COPS8,1.1449937510405415e-06,281
COPS6,1.1449937510405415e-06,281
GPHN,1.1449937510405415e-06,281
RGS14,1.1449937510405415e-06,281
VPS51,1.1449937510405415e-06,281
VPS52,1.1449937510405415e-06,281
PLP1,1.1448077848636633e-06,295
AKR1A1,1.1448077848636633e-06,295
