gene,score,rank
CLTC,3.949770961153708e-06,170
PFDN1,3.949770961153708e-06,170
THOP1,3.949770961153708e-06,170
PPP2R1A,3.456049591009494e-06,177
RAB3A,3.456049591009494e-06,177
PRMT5,2.633180640769139e-06,179
ACTN4,2.633180640769139e-06,179
PCMT1,2.633180640769139e-06,179
TMEM30A,2.633180640769139e-06,179
WDR7,2.633180640769139e-06,179
VPS52,2.633180640769139e-06,179
VPS53,2.633180640769139e-06,179
HSPA5,2.633180640769139e-06,179
P4HB,2.633180640769139e-06,179
PDIA4,2.633180640769139e-06,179
UBA3,2.633180640769139e-06,179
VPS18,2.633180640769139e-06,179
ATG7,2.63248088508464e-06,191
PDAP1,2.63248088508464e-06,191
CAB39,2.63248088508464e-06,191
TRIM9,2.63248088508464e-06,191
ACAT2,2.304033060672996e-06,195
LDHA,2.304033060672996e-06,195
CPT2,2.304033060672996e-06,195
ATP1A1,2.304033060672996e-06,195
NAE1,2.304033060672996e-06,195
VPS11,2.304033060672996e-06,195
ASRGL1,1.974885480576854e-06,201
RAB21,1.974885480576854e-06,201
EIF5,1.48077049786011e-06,203
BZW1,1.48077049786011e-06,203
RPS5,1.48077049786011e-06,203
PFDN5,1.48077049786011e-06,203
USP14,1.48077049786011e-06,203
VDAC1,1.48077049786011e-06,203
FKBP4,6.5812022127116e-07,209
PIK3R4,6.5812022127116e-07,209
ARHGAP1,6.5812022127116e-07,209
DIAPH1,6.5812022127116e-07,209
IST1,6.5812022127116e-07,209
ARRB1,6.5812022127116e-07,209
TTC1,6.5812022127116e-07,209
UBA5,6.5812022127116e-07,209
CNDP2,6.5812022127116e-07,209
CAPN2,6.5812022127116e-07,209
ADD2,6.5812022127116e-07,209
NCAM1,6.5812022127116e-07,209
RPS28,6.5812022127116e-07,209
MAP2K2,6.5812022127116e-07,209
PITPNA,6.5812022127116e-07,209
PTPN11,6.5812022127116e-07,209
AP2B1,6.5812022127116e-07,209
AP3D1,6.5812022127116e-07,209
AP3S1,6.5812022127116e-07,209
APBB1,6.5812022127116e-07,209
RPN1,6.5812022127116e-07,209
CANX,6.5812022127116e-07,209
PTGES3,6.5812022127116e-07,209
CAND1,6.5812022127116e-07,209
VPS51,6.5812022127116e-07,209
CLTA,6.5812022127116e-07,209
CRKL,6.5812022127116e-07,209
CSE1L,6.5812022127116e-07,209
DCLK2,6.5812022127116e-07,209
IMPDH2,1.6453005531779e-07,238
ATIC,1.6453005531779e-07,238
ACACA,1.6453005531779e-07,238
EHD4,1.6453005531779e-07,238
ZYX,1.6453005531779e-07,238
LANCL1,1.6453005531779e-07,238
TALDO1,1.6453005531779e-07,238
GDI1,1.6453005531779e-07,238
GMFB,1.6453005531779e-07,238
PAK2,1.6453005531779e-07,238
ARPC5L,1.6453005531779e-07,238
SNX1,1.6453005531779e-07,238
DNM3,1.6453005531779e-07,238
SMAP2,1.6453005531779e-07,238
PGP,1.6453005531779e-07,238
APBA2,1.6453005531779e-07,238
TUBB2A,1.6453005531779e-07,238
ADRM1,1.6453005531779e-07,238
AFDN,1.6453005531779e-07,238
CORO2B,1.6453005531779e-07,238
HSPH1,1.6453005531779e-07,238
AKR1A1,1.6453005531779e-07,238
MPI,1.6453005531779e-07,238
SH3GLB1,1.6453005531779e-07,238
EHD1,1.6453005531779e-07,238
SH3GLB2,1.6453005531779e-07,238
PPP3CA,1.6453005531779e-07,238
AP2A2,1.6453005531779e-07,238
AP2S1,1.6453005531779e-07,238
RABL6,1.6453005531779e-07,238
DPYSL5,1.6453005531779e-07,238
SGTB,1.6453005531779e-07,238
APMAP,1.6453005531779e-07,238
APPL1,1.6453005531779e-07,238
PAFAH1B2,1.6453005531779e-07,238
ARL8A,1.6453005531779e-07,238
ATP6AP2,1.6453005531779e-07,238
ATP6V0C,1.6453005531779e-07,238
NCEH1,1.6453005531779e-07,238
RAP1A,1.6453005531779e-07,238
VPS35,1.6453005531779e-07,238
AVL9,1.6453005531779e-07,238
VPS33B,1.6453005531779e-07,238
BAG6,1.6453005531779e-07,238
EIF4G2,1.6453005531779e-07,238
UFC1,1.6453005531779e-07,238
CALR,1.6453005531779e-07,238
PRKCSH,1.6453005531779e-07,238
TMX1,1.6453005531779e-07,238
FLNA,1.6453005531779e-07,238
CUL2,1.6453005531779e-07,238
CEP170B,1.6453005531779e-07,238
VAPB,1.6453005531779e-07,238
CLTB,1.6453005531779e-07,238
NSFL1C,1.6453005531779e-07,238
TSNAX,1.6453005531779e-07,238
CNTN1,1.6453005531779e-07,238
TMOD2,1.6453005531779e-07,238
COPS8,1.6453005531779e-07,238
GMPS,1.6453005531779e-07,238
XPO1,1.6453005531779e-07,238
DOCK7,1.6453005531779e-07,238
PPP2R5C,1.6453005531779e-07,238
DNM1L,1.6453005531779e-07,238
MAPRE1,1.6453005531779e-07,238
EIF4H,1.6453005531779e-07,238
EIF3C,1.6453005531779e-07,238
RPL3,1.6453005531779e-07,238
OSBP,1.6453005531779e-07,238
WDR13,1.6453005531779e-07,238
FGB,1.6453005531779e-07,238
FGG,1.6453005531779e-07,238
HNRNPH2,1.6453005531779e-07,238
GABARAPL2,1.6453005531779e-07,238
MAP2,1.6453005531779e-07,238
PGM1,1.6453005531779e-07,238
GLO1,1.6453005531779e-07,238
SOD1,1.6453005531779e-07,238
RAB18,1.6453005531779e-07,238
LIN7A,1.6453005531779e-07,238
LIN7C,1.6453005531779e-07,238
PPME1,1.6453005531779e-07,238
STMN1,1.6453005531779e-07,238
MAP2K4,1.6453005531779e-07,238
MAP1LC3A,1.6453005531779e-07,238
UCHL1,1.6453005531779e-07,238
SCCPDH,1.6453005531779e-07,238
SLC25A3,1.6453005531779e-07,238
MYO6,1.6453005531779e-07,238
PPP2R5B,1.6453005531779e-07,238
NRBP2,1.6453005531779e-07,238
PFKP,1.6453005531779e-07,238
PLCB1,1.6453005531779e-07,238
PSD3,1.6453005531779e-07,238
PSMB5,1.6453005531779e-07,238
PSMB7,1.6453005531779e-07,238
RAB3GAP1,1.6453005531779e-07,238
RAB3GAP2,1.6453005531779e-07,238
RUVBL1,1.6453005531779e-07,238
RUVBL2,1.6453005531779e-07,238
SARM1,1.6453005531779e-07,238
SRGAP3,1.6453005531779e-07,238
SNX30,1.6453005531779e-07,238
SNX4,1.6453005531779e-07,238
STRN3,1.6453005531779e-07,238
STRN4,1.6453005531779e-07,238
THY1,1.6453005531779e-07,238
WFS1,1.6453005531779e-07,238
TIMM10,1.6453005531779e-07,238
TIMM9,1.6453005531779e-07,238
TRAPPC10,1.6453005531779e-07,238
TRAPPC9,1.6453005531779e-07,238
