gene,score,rank
CTNND1,9.277995205738001e-08,224
NCKAP1,9.277995205738001e-08,224
CYFIP2,9.277995205738001e-08,224
DBNL,9.277995205738001e-08,224
LASP1,9.277995205738001e-08,224
DCTN6,9.277995205738001e-08,224
TOLLIP,9.277995205738001e-08,224
KCNAB2,9.277995205738001e-08,224
UBXN6,9.277995205738001e-08,224
WBP2,9.277995205738001e-08,224
DYNLRB1,9.277995205738001e-08,224
MTHFD1,9.277995205738001e-08,224
LMAN1,9.277995205738001e-08,224
NPM1,9.277995205738001e-08,224
RPS15,9.277995205738001e-08,224
PDAP1,9.277995205738001e-08,224
TMX1,9.277995205738001e-08,224
IDH3G,9.277995205738001e-08,224
KIF3B,9.277995205738001e-08,224
TRIM2,9.277995205738001e-08,224
PITRM1,9.277995205738001e-08,224
XPO1,9.277995205738001e-08,224
FGB,9.277995205738001e-08,224
FGG,9.277995205738001e-08,224
FMNL1,9.277995205738001e-08,224
NEGR1,9.277995205738001e-08,224
RAP1B,9.277995205738001e-08,224
PITHD1,9.277995205738001e-08,224
USP5,9.277995205738001e-08,224
MAP2K1,9.277995205738001e-08,224
HUWE1,9.277995205738001e-08,224
TOMM34,9.277995205738001e-08,224
IPO9,9.277995205738001e-08,224
RRBP1,9.277995205738001e-08,224
MAPK3,9.277995205738001e-08,224
MRPS9,9.277995205738001e-08,224
MSRA,9.277995205738001e-08,224
QDPR,9.277995205738001e-08,224
PPP1R9B,9.277995205738001e-08,224
SV2A,9.277995205738001e-08,224
PPP6R2,9.277995205738001e-08,224
RABGGTA,9.277995205738001e-08,224
PSMB5,9.277995205738001e-08,224
PSMB7,9.277995205738001e-08,224
RAB15,9.277995205738001e-08,224
RAB35,9.277995205738001e-08,224
RAB5A,9.277995205738001e-08,224
RAB5C,9.277995205738001e-08,224
SH3GL1,9.277995205738001e-08,224
SH3GL2,9.277995205738001e-08,224
VPS26A,9.277995205738001e-08,224
VPS35,9.277995205738001e-08,224
