gene,score,rank
RPN1,1.0754444884867368e-05,172
SOD1,1.0082292079563158e-05,174
RAP1GDS1,1.0082292079563158e-05,174
DNAJB4,1.0079335395668857e-05,176
CAB39,9.410139274258946e-06,177
DAG1,9.23939077936312e-06,178
VAT1,8.737986468954736e-06,179
ALDH9A1,8.737986468954736e-06,179
ATP2B4,8.737986468954736e-06,179
GART,8.399446163057378e-06,182
MAP2K1,8.399446163057378e-06,182
APPL1,8.229042614615887e-06,184
PIP4K2A,7.5617190596723686e-06,185
LMAN1,7.5617190596723686e-06,185
SH3BGRL3,7.057604455694211e-06,187
ALDOA,7.057604455694211e-06,187
PGK1,7.057604455694211e-06,187
PHYHIPL,7.057604455694211e-06,187
GNB2,7.057604455694211e-06,187
TPM1,6.719556930445905e-06,192
CANX,6.719556930445905e-06,192
NPTN,6.553489851716052e-06,194
COPB1,6.0476012374013145e-06,195
PPA2,5.3756455443567236e-06,196
PRDX3,5.3756455443567236e-06,196
ABCE1,4.535700928050986e-06,198
SORBS1,4.535700928050986e-06,198
MAPRE3,4.535700928050986e-06,198
SGTB,4.535700928050986e-06,198
AP1M1,4.535700928050986e-06,198
XPO1,4.535700928050986e-06,198
IDH3G,4.535700928050986e-06,198
IMPDH2,4.198491129906064e-06,205
VCAN,4.198491129906064e-06,205
SNPH,4.198491129906064e-06,205
NUDC,4.031734158267542e-06,208
ACTN2,4.031734158267542e-06,208
VPS11,4.031734158267542e-06,208
MAP1LC3A,4.031734158267542e-06,208
SHMT2,4.031734158267542e-06,208
PRKAR1A,4.031734158267542e-06,208
NCAM1,4.031734158267542e-06,208
ELMO2,3.5277673884841e-06,215
DTNA,3.5277673884841e-06,215
DBNL,2.6878227721783618e-06,217
ACTR1B,2.6878227721783618e-06,217
DCTN4,2.6878227721783618e-06,217
SMAP2,2.6878227721783618e-06,217
USO1,2.6878227721783618e-06,217
RRBP1,2.6878227721783618e-06,217
RAB3GAP2,2.6878227721783618e-06,217
EPB41L3,2.6870343231398815e-06,224
ATP2B2,2.6870343231398815e-06,224
MTHFD1L,2.3518449256560667e-06,226
LDHA,2.3518449256560667e-06,226
ARF4,2.3518449256560667e-06,226
PFDN6,2.3518449256560667e-06,226
RPS28,2.3518449256560667e-06,226
ARL8A,2.0158670791337712e-06,231
ATL1,2.0158670791337712e-06,231
CNTN1,2.0158670791337712e-06,231
ERP44,2.0158670791337712e-06,231
EEF2,1.5114568067661835e-06,235
ADD1,1.5114568067661835e-06,235
PSMD6,1.5114568067661835e-06,235
ITSN1,1.5114568067661835e-06,235
AP2B1,1.5114568067661835e-06,235
AP2A2,1.5114568067661835e-06,235
GAP43,1.5114568067661835e-06,235
GLRX3,1.5114568067661835e-06,235
VPS18,1.5114568067661835e-06,235
MTHFD1,6.717585807849704e-07,244
ADRM1,6.717585807849704e-07,244
ACAD8,6.717585807849704e-07,244
FLII,6.717585807849704e-07,244
CAMK1,6.717585807849704e-07,244
TOLLIP,6.717585807849704e-07,244
DCTN6,6.717585807849704e-07,244
MAPK1,6.717585807849704e-07,244
CNDP2,6.717585807849704e-07,244
RGS10,6.717585807849704e-07,244
HPCAL1,6.717585807849704e-07,244
CORO1B,6.717585807849704e-07,244
EPS15,6.717585807849704e-07,244
ANP32E,6.717585807849704e-07,244
AP2A1,6.717585807849704e-07,244
RAB8A,6.717585807849704e-07,244
RTN1,6.717585807849704e-07,244
CDK14,6.717585807849704e-07,244
ATP1A3,6.717585807849704e-07,244
NTM,6.717585807849704e-07,244
ATP1A1,6.717585807849704e-07,244
CTNNB1,6.717585807849704e-07,244
SLC25A3,6.717585807849704e-07,244
IPO7,6.717585807849704e-07,244
RAN,6.717585807849704e-07,244
STRAP,6.717585807849704e-07,244
PSME2,6.717585807849704e-07,244
SERPINB1,6.717585807849704e-07,244
SUGT1,6.717585807849704e-07,244
TUBB,6.717585807849704e-07,244
EIF5,6.717585807849704e-07,244
EXOC5,6.717585807849704e-07,244
RAB35,6.717585807849704e-07,244
KPNA3,6.717585807849704e-07,244
TUBB2A,6.717585807849704e-07,244
NDEL1,6.717585807849704e-07,244
TOM1L2,6.717585807849704e-07,244
YWHAE,6.717585807849704e-07,244
PPM1E,6.717585807849704e-07,244
RAB5C,6.717585807849704e-07,244
VPS50,6.717585807849704e-07,244
ABHD12,1.679396451962426e-07,285
APMAP,1.679396451962426e-07,285
CSNK2A1,1.679396451962426e-07,285
GSPT1,1.679396451962426e-07,285
AUH,1.679396451962426e-07,285
CPT2,1.679396451962426e-07,285
ACTN4,1.679396451962426e-07,285
FLNA,1.679396451962426e-07,285
KALRN,1.679396451962426e-07,285
PIP4K2B,1.679396451962426e-07,285
PITPNA,1.679396451962426e-07,285
PPP6R2,1.679396451962426e-07,285
ACTR10,1.679396451962426e-07,285
SETD7,1.679396451962426e-07,285
SPATA2L,1.679396451962426e-07,285
TCP11L1,1.679396451962426e-07,285
ARHGDIA,1.679396451962426e-07,285
RABGGTA,1.679396451962426e-07,285
YWHAB,1.679396451962426e-07,285
OTUB1,1.679396451962426e-07,285
CRKL,1.679396451962426e-07,285
HSPA2,1.679396451962426e-07,285
AIMP1,1.679396451962426e-07,285
AIP,1.679396451962426e-07,285
GSTP1,1.679396451962426e-07,285
LRP1,1.679396451962426e-07,285
UCHL1,1.679396451962426e-07,285
AKR1A1,1.679396451962426e-07,285
ALDH18A1,1.679396451962426e-07,285
ALDH5A1,1.679396451962426e-07,285
HNRNPLL,1.679396451962426e-07,285
MAP2K2,1.679396451962426e-07,285
WDFY1,1.679396451962426e-07,285
AP2S1,1.679396451962426e-07,285
FMNL1,1.679396451962426e-07,285
SACM1L,1.679396451962426e-07,285
AP3D1,1.679396451962426e-07,285
AP3S1,1.679396451962426e-07,285
APBB1,1.679396451962426e-07,285
PRKAR1B,1.679396451962426e-07,285
GPC4,1.679396451962426e-07,285
ARFGAP3,1.679396451962426e-07,285
ARFGEF3,1.679396451962426e-07,285
CADPS2,1.679396451962426e-07,285
TMOD2,1.679396451962426e-07,285
ARRB1,1.679396451962426e-07,285
DCLK2,1.679396451962426e-07,285
SNX5,1.679396451962426e-07,285
ATP1B1,1.679396451962426e-07,285
CTNND1,1.679396451962426e-07,285
CD47,1.679396451962426e-07,285
CORO2B,1.679396451962426e-07,285
VDAC1,1.679396451962426e-07,285
RAB11FIP5,1.679396451962426e-07,285
PPP1R12B,1.679396451962426e-07,285
ATP6V0C,1.679396451962426e-07,285
ATP6V0D1,1.679396451962426e-07,285
ATXN10,1.679396451962426e-07,285
BRK1,1.679396451962426e-07,285
TRAPPC6B,1.679396451962426e-07,285
C1QBP,1.679396451962426e-07,285
YWHAH,1.679396451962426e-07,285
TOMM34,1.679396451962426e-07,285
PAK2,1.679396451962426e-07,285
ERP29,1.679396451962426e-07,285
SRR,1.679396451962426e-07,285
CLPTM1,1.679396451962426e-07,285
FAF2,1.679396451962426e-07,285
TECR,1.679396451962426e-07,285
SCRN1,1.679396451962426e-07,285
PSMB5,1.679396451962426e-07,285
DIAPH1,1.679396451962426e-07,285
CEP170B,1.679396451962426e-07,285
TANC2,1.679396451962426e-07,285
CIAPIN1,1.679396451962426e-07,285
PPA1,1.679396451962426e-07,285
RAB5B,1.679396451962426e-07,285
RAB21,1.679396451962426e-07,285
TNC,1.679396451962426e-07,285
CRYZ,1.679396451962426e-07,285
EIF4G2,1.679396451962426e-07,285
CSTB,1.679396451962426e-07,285
SYNJ1,1.679396451962426e-07,285
DNM1L,1.679396451962426e-07,285
USP5,1.679396451962426e-07,285
DPYSL5,1.679396451962426e-07,285
FSD1,1.679396451962426e-07,285
SNTA1,1.679396451962426e-07,285
HNRNPA3,1.679396451962426e-07,285
VPS16,1.679396451962426e-07,285
EXOC7,1.679396451962426e-07,285
EXOC8,1.679396451962426e-07,285
FGB,1.679396451962426e-07,285
FGG,1.679396451962426e-07,285
