ABCE1 GART IMPDH2,3
ABCE1 GART PAICS,3
ACTR10 ACTR1A ACTR1B,3
ACTR10 ACTR1A DCTN4,3
ACTR10 ACTR1B DCTN4,3
ACTR1A ACTR1B DCTN4,3
ACTR2 ARPC3 ARPC5,3
ACTR2 ARPC3 ATG7,3
ACTR2 ARPC3 CORO1A,3
ACTR2 ARPC3 COTL1,3
ACTR2 ARPC3 TWF2,3
ACTR2 ARPC3 WDR1,3
ACTR2 ARPC5 ATG7,3
ACTR2 ARPC5 CORO1A,3
ACTR2 ARPC5 COTL1,3
ACTR2 ARPC5 TWF2,3
ACTR2 ARPC5 WDR1,3
ACTR2 ATG7 CORO1A,3
ACTR2 ATG7 COTL1,3
ACTR2 ATG7 TWF2,3
ACTR2 CORO1A COTL1,3
ACTR2 CORO1A TWF2,3
ACTR2 EFHD2 TWF2,3
ACTR2 TWF2 WDR1,3
ADD1 ITSN1 SORBS1,3
ADRM1 PSMC1 PSMC2,3
ADRM1 PSMC1 PSMC4,3
ADRM1 PSMC1 PSMC5,3
ADRM1 PSMC1 PSMC6,3
ADRM1 PSMC1 PSMD13,3
ADRM1 PSMC1 PSMD3,3
ADRM1 PSMC1 PSMD6,3
ADRM1 PSMC1 PSMD7,3
ADRM1 PSMC1 PSMD8,3
ADRM1 PSMC2 PSMC4,3
ADRM1 PSMC2 PSMC5,3
ADRM1 PSMC2 PSMC6,3
ADRM1 PSMC2 PSMD13,3
ADRM1 PSMC2 PSMD3,3
ADRM1 PSMC2 PSMD6,3
ADRM1 PSMC2 PSMD7,3
ADRM1 PSMC2 PSMD8,3
ADRM1 PSMC4 PSMC5,3
ADRM1 PSMC4 PSMC6,3
ADRM1 PSMC4 PSMD13,3
ADRM1 PSMC4 PSMD3,3
ADRM1 PSMC4 PSMD6,3
ADRM1 PSMC4 PSMD7,3
ADRM1 PSMC4 PSMD8,3
ADRM1 PSMC5 PSMC6,3
ADRM1 PSMC5 PSMD13,3
ADRM1 PSMC5 PSMD3,3
ADRM1 PSMC5 PSMD6,3
ADRM1 PSMC5 PSMD7,3
ADRM1 PSMC5 PSMD8,3
ADRM1 PSMC6 PSMD13,3
ADRM1 PSMC6 PSMD3,3
ADRM1 PSMC6 PSMD6,3
ADRM1 PSMC6 PSMD7,3
ADRM1 PSMC6 PSMD8,3
ADRM1 PSMD13 PSMD3,3
ADRM1 PSMD13 PSMD6,3
ADRM1 PSMD13 PSMD7,3
ADRM1 PSMD13 PSMD8,3
ADRM1 PSMD3 PSMD6,3
ADRM1 PSMD3 PSMD7,3
ADRM1 PSMD3 PSMD8,3
ADRM1 PSMD6 PSMD7,3
ADRM1 PSMD6 PSMD8,3
ADRM1 PSMD7 PSMD8,3
AHSA1 CACYBP STIP1,3
AKAP12 HSPA12A PALM,3
AKAP12 PALM TMOD2,3
ALCAM ATP1A1 ATP1B1,3
ALDH9A1 DPYSL2 QDPR,3
ALDOA LDHA PGK1,3
ALDOA PGAM1 PGK1,3
ANXA5 SNX2 SNX5,3
ANXA6 CNRIP1 EHD1,3
AP2A1 AP2B1 AP2S1,3
AP2A1 GNAI2 SIRPA,3
