ABCE1 EIF2S1 PSMD2,3
ACACA CCT3 CCT7,3
ACACA CCT3 CCT8,3
ACACA CCT3 FASN,3
ACACA CCT7 CCT8,3
ACACA CCT7 FASN,3
ACACA CCT8 FASN,3
ACTN1 SORBS1 TPM1,3
ACTN2 CAP2 WASF3,3
ACTR1A ACTR1B DCTN4,3
ACTR2 ARPC3 ARPC5,3
ACTR2 ARPC3 ATG7,3
ACTR2 ARPC3 CORO1A,3
ACTR2 ARPC3 EHD1,3
ACTR2 ARPC3 TWF2,3
ACTR2 ARPC5 ATG7,3
ACTR2 ARPC5 CORO1A,3
ACTR2 ARPC5 TWF2,3
ACTR2 ATG7 CORO1A,3
ACTR2 ATG7 COTL1,3
ACTR2 ATG7 TWF2,3
ACTR2 CAB39 PGAM1,3
ACTR2 CORO1A COTL1,3
ACTR2 CORO1A TWF2,3
ACTR2 EHD1 PGAM1,3
AKAP12 GIT2 VPS13C,3
AKAP12 HSPA12A PALM,3
AKAP12 MAP1A MAP1B,3
ALDH9A1 MDH1 QDPR,3
ALDH9A1 MDH1 SOD1,3
ALDOA LDHA PGK1,3
ALDOA PGAM1 PGK1,3
ANXA5 CAP1 ZYX,3
ANXA5 CAPZA2 PGM1,3
ANXA5 CAPZA2 WDR1,3
ANXA5 CLIC4 CNN3,3
ANXA5 CLIC4 CSRP1,3
ANXA5 CLIC4 PDLIM5,3
ANXA5 CLIC4 PGM1,3
ANXA5 CLIC4 WDR1,3
ANXA5 CNN3 PDLIM5,3
ANXA5 CNN3 WDR1,3
ANXA5 CNN3 ZYX,3
ANXA5 CSRP1 PDLIM5,3
ANXA5 CSRP1 WDR1,3
ANXA5 PDLIM5 WDR1,3
ANXA5 PDLIM5 ZYX,3
ANXA5 PGM1 WDR1,3
ANXA6 CAMK2G EHD1,3
ANXA6 CNRIP1 EHD1,3
ANXA6 CNRIP1 PGM1,3
ANXA6 CNRIP1 PYGM,3
ANXA6 CSRP1 WDR1,3
ANXA6 EHD1 PYGM,3
ANXA6 MDH1 MPI,3
