ACAD8 ETFB MDH2,3
ACAD8 ETFB PRDX3,3
ACAD8 ETFB SUCLA2,3
ACAD8 MDH2 PRDX3,3
ACAD8 MDH2 SUCLA2,3
ACAD8 PRDX3 SUCLA2,3
ACTN1 SORBS1 TPM1,3
ALDH9A1 MDH1 QDPR,3
ATP6V1A ATP6V1B2 ATP6V1D,3
ATP6V1A ATP6V1B2 ATP6V1E1,3
ATP6V1A ATP6V1B2 ATP6V1H,3
ATP6V1A ATP6V1D ATP6V1E1,3
ATP6V1A ATP6V1D ATP6V1H,3
ATP6V1A ATP6V1E1 ATP6V1H,3
ATP6V1B2 ATP6V1C1 ATP6V1H,3
ATP6V1B2 ATP6V1D ATP6V1E1,3
ATP6V1B2 ATP6V1D ATP6V1H,3
ATP6V1B2 ATP6V1E1 ATP6V1H,3
ATP6V1D ATP6V1E1 ATP6V1H,3
AUH BPHL MDH2,3
AUH BPHL PRDX3,3
AUH BPHL SUCLA2,3
AUH ETFB MDH2,3
AUH ETFB PRDX3,3
AUH ETFB SUCLA2,3
AUH MDH2 PRDX3,3
AUH MDH2 SUCLA2,3
AUH PRDX3 SUCLA2,3
BPHL HSPD1 MDH2,3
BPHL HSPD1 PRDX3,3
BPHL HSPD1 SUCLA2,3
BPHL MDH2 PRDX3,3
BPHL MDH2 SUCLA2,3
BPHL PRDX3 SUCLA2,3
C1QBP HIBADH HSPD1,3
C1QBP HIBADH PRDX3,3
C1QBP HSPD1 PRDX3,3
CALR EEF2 P4HB,3
CALR EEF2 PDIA4,3
CALR HSPA5 P4HB,3
CALR HSPA5 PDIA4,3
CALR P4HB PDIA4,3
CALR P4HB PRKCSH,3
CCT2 CCT3 CCT4,3
CCT2 CCT3 CCT5,3
CCT2 CCT3 CCT6A,3
CCT2 CCT3 CCT7,3
CCT2 CCT3 CCT8,3
CCT2 CCT3 TCP1,3
CCT2 CCT4 CCT5,3
CCT2 CCT4 CCT6A,3
CCT2 CCT4 CCT7,3
CCT2 CCT4 CCT8,3
CCT2 CCT4 TCP1,3
CCT2 CCT5 CCT6A,3
CCT2 CCT5 CCT7,3
CCT2 CCT5 CCT8,3
CCT2 CCT5 TCP1,3
CCT2 CCT6A CCT7,3
CCT2 CCT6A CCT8,3
CCT2 CCT6A PSMC4,3
CCT2 CCT6A TCP1,3
CCT2 CCT7 CCT8,3
CCT2 CCT7 TCP1,3
CCT2 CCT8 PSMC4,3
CCT2 CCT8 TCP1,3
CCT2 PSMC4 TCP1,3
CCT3 CCT4 CCT5,3
CCT3 CCT4 CCT6A,3
CCT3 CCT4 CCT7,3
CCT3 CCT4 CCT8,3
CCT3 CCT4 TCP1,3
CCT3 CCT5 CCT6A,3
CCT3 CCT5 CCT7,3
CCT3 CCT5 CCT8,3
CCT3 CCT5 TCP1,3
CCT3 CCT6A CCT7,3
CCT3 CCT6A CCT8,3
CCT3 CCT6A TCP1,3
CCT3 CCT7 CCT8,3
CCT3 CCT7 TCP1,3
CCT3 CCT8 TCP1,3
CCT4 CCT5 CCT6A,3
CCT4 CCT5 CCT7,3
CCT4 CCT5 CCT8,3
CCT4 CCT5 TCP1,3
CCT4 CCT6A CCT7,3
CCT4 CCT6A CCT8,3
CCT4 CCT6A PSMA6,3
CCT4 CCT6A TCP1,3
CCT4 CCT7 CCT8,3
CCT4 CCT7 TCP1,3
CCT4 CCT8 PSMA6,3
CCT4 CCT8 TCP1,3
CCT4 PSMA6 PSMB1,3
CCT4 PSMA6 TCP1,3
CCT5 CCT6A CCT7,3
CCT5 CCT6A CCT8,3
CCT5 CCT6A TCP1,3
CCT5 CCT7 CCT8,3
CCT5 CCT7 TCP1,3
CCT5 CCT8 TCP1,3
CCT6A CCT7 CCT8,3
CCT6A CCT7 TCP1,3
CCT6A CCT8 PSMA6,3
CCT6A CCT8 PSMC4,3
CCT6A CCT8 TCP1,3
CCT6A PSMA6 PSMC4,3
CCT6A PSMA6 TCP1,3
CCT6A PSMC4 TCP1,3
CCT7 CCT8 TCP1,3
CCT8 PSMA6 PSMC2,3
CCT8 PSMA6 PSMC4,3
CCT8 PSMA6 TCP1,3
