Q0080 YBL099W YJR121W,3
Q0085 YBL099W YDR298C,3
Q0085 YBL099W YDR377W,3
Q0085 YBL099W YJR121W,3
Q0085 YBL099W YKL016C,3
Q0085 YBL099W YML081C-A,3
Q0085 YBL099W YPL078C,3
Q0085 YDR298C YJR121W,3
Q0085 YDR298C YKL016C,3
Q0085 YDR377W YJR121W,3
Q0085 YDR377W YKL016C,3
Q0085 YDR377W YML081C-A,3
Q0085 YDR377W YPL078C,3
Q0085 YJR121W YKL016C,3
Q0085 YJR121W YML081C-A,3
Q0085 YJR121W YPL078C,3
Q0085 YKL016C YML081C-A,3
Q0130 YBL099W YJR121W,3
Q0250 YBR024W YBR037C,3
R0030W YOR101W YOR351C,3
YAL002W YCL018W YKR026C,3
YAL002W YDR171W YKR026C,3
YAL002W YGL206C YKR026C,3
YAL002W YLR148W YLR396C,3
YAL002W YLR148W YMR231W,3
YAL002W YLR148W YPL045W,3
YAL002W YLR396C YMR231W,3
YAL002W YLR396C YPL045W,3
YAL002W YMR231W YPL045W,3
YAL003W YBR118W YKL081W,3
YAL003W YBR118W YML064C,3
YAL003W YKL081W YML064C,3
YAL005C YAR002W YLR335W,3
YAL005C YAR002W YLR347C,3
YAL005C YCL028W YNL007C,3
YAL005C YCL028W YNL064C,3
YAL005C YDR192C YLR335W,3
YAL005C YDR192C YLR347C,3
YAL005C YDR192C YOR160W,3
YAL005C YLR310C YPL240C,3
YAL005C YLR335W YLR347C,3
YAL005C YLR347C YOR098C,3
YAL005C YOR098C YOR160W,3
YAL007C YAR002C-A YGL200C,3
YAL007C YAR002C-A YML012W,3
YAL007C YBR036C YEL063C,3
YAL007C YBR036C YHR026W,3
YAL007C YBR036C YHR110W,3
YAL007C YBR036C YHR140W,3
YAL007C YBR036C YPL076W,3
YAL007C YBR036C YPL264C,3
YAL007C YBR183W YGR060W,3
YAL007C YBR183W YHR140W,3
YAL007C YBR183W YJL117W,3
YAL007C YBR183W YPL076W,3
YAL007C YCL025C YGR060W,3
YAL007C YCL025C YHR026W,3
YAL007C YCL025C YJL117W,3
YAL007C YCL025C YPL076W,3
YAL007C YDL054C YHR026W,3
YAL007C YEL002C YJL117W,3
YAL007C YEL002C YPL076W,3
YAL007C YEL063C YHR140W,3
YAL007C YEL063C YJL117W,3
YAL007C YEL063C YPL076W,3
YAL007C YGL200C YGR060W,3
YAL007C YGL200C YHR110W,3
YAL007C YGL200C YHR140W,3
YAL007C YGL200C YJL117W,3
YAL007C YGL200C YML012W,3
YAL007C YGL200C YNL130C,3
YAL007C YGL200C YPR201W,3
YAL007C YGR060W YHR140W,3
YAL007C YGR060W YJL117W,3
YAL007C YGR060W YPL076W,3
YAL007C YGR060W YPL264C,3
